score,next_action,name,chain,address,category,liquidity_usd,tvl_usd,volume24h_usd,source,url,reasons
23,watch_mainstream,LayerZero V2,ethereum,,Bridge,0.0,7583345774.156277,0.0,defillama_protocols,https://layerzero.network/,value_at_risk>=10000000:7583345774;chain_weight:ethereum:5;surface:bridge:18;mainstream_dampener>=100000000
21,watch_mainstream,Aave V3,ethereum,,Lending,0.0,11828950643.181353,0.0,defillama_protocols,https://aave.com,value_at_risk>=10000000:11828950643;chain_weight:ethereum:5;surface:lending:16;mainstream_dampener>=100000000
19,drop_low_value,UFC White House,solana,5WaGJjGvjZGwM7suNCyu1Vv8K96TccttSFjAkaFpump,SOL,20267.74,0.0,191581.76,dexscreener_profiles,https://dexscreener.com/solana/8xyxuuamuocb4gq4y4bboor6bycibhn1apxzckwh1rhg,value_below_minimum:20268;fresh_pair<=3d:0;latest_profile;high_liquidity_to_fdv:0.24;low_value_score_cap
19,drop_low_value,TCGData,solana,GvD4XDRdxTGj5Ao27sZLXKhJVHKrUKAsJEz95uurpump,SOL,0.0,0.0,56806.57,dexscreener_profiles,https://dexscreener.com/solana/gnwsxszaj4smvolpxvck8t4o9azycqgqowziqpzlc5tp,value_below_minimum:0;fresh_pair<=3d:0;latest_profile;low_value_score_cap
19,drop_low_value,I am a fucking architect,solana,DncsoEwGbdXg3wcnSAfJzfUe7hSYTiu5eNeMA6DVpump,SOL,0.0,0.0,47925.99,dexscreener_profiles,https://dexscreener.com/solana/hqqyvjmuic1ngquaeffjhmwuad3af1jyjcyt2vsclazw,value_below_minimum:0;fresh_pair<=3d:0;latest_profile;low_value_score_cap
19,drop_low_value,Wokius Maximus,ethereum,0xc5892430fb4385db4BFe0a908af7fFC48567F104,WETH,7691.5,0.0,17859.65,dexscreener_profiles,https://dexscreener.com/ethereum/0x3f860b3575c59664159f53cdf20568119f6a9369,value_below_minimum:7692;chain_weight:ethereum:5;fresh_pair<=3d:0;latest_profile;high_liquidity_to_fdv:0.45;low_value_score_cap
19,drop_low_value,sims,solana,Bux9NcSfxwtZQY4th2a1mTrezTRVvquxE195KY2ipump,SOL,0.0,0.0,32944.73,dexscreener_profiles,https://dexscreener.com/solana/88y3pnbjq6zfkpu8oz9vvxg4uax7fvjnecd7dq4kdvfu,value_below_minimum:0;fresh_pair<=3d:0;latest_profile;low_value_score_cap
19,drop_low_value,Buongiorno,ethereum,0xB300d35e90634d74E4189d3690bAb1F9119132E8,WETH,2802.09,0.0,10246.31,dexscreener_profiles,https://dexscreener.com/ethereum/0x8ed1e4f5cd983073ca26a8593311bc02c22a0224,value_below_minimum:2802;chain_weight:ethereum:5;fresh_pair<=3d:0;latest_profile;high_liquidity_to_fdv:0.61;low_value_score_cap
19,drop_low_value,michaelseacrest15,solana,99vvNXSCY6Lqg5fhSwzskqoj89cC58UnhXELJGnVpump,SOL,0.0,0.0,53854.96,dexscreener_profiles,https://dexscreener.com/solana/bqfw5ngfbnolpaz2nt5bdcenyfjp5i3twsgv1gvoka4x,value_below_minimum:0;fresh_pair<=3d:0;latest_profile;low_value_score_cap
19,drop_low_value,Dreaming Big,solana,AcG66EWynoBCEoPPVLJh5YRvX4fhT84TiwiAJonpump,SOL,0.0,0.0,26456.41,dexscreener_profiles,https://dexscreener.com/solana/hu52vavvehuymflleimrvhs5lq8h4g1lb5vbwphhiick,value_below_minimum:0;fresh_pair<=3d:0;latest_profile;low_value_score_cap
19,drop_low_value,TaoOS,ethereum,0x7c452A9DAD32Af24d1aA54d9E718659b553Bc710,WETH,5665.17,0.0,21586.02,dexscreener_profiles,https://dexscreener.com/ethereum/0x11135cf209a4620269cfdcd7dd175e257a5be230,value_below_minimum:5665;chain_weight:ethereum:5;fresh_pair<=3d:0;latest_profile;high_liquidity_to_fdv:0.96;low_value_score_cap
19,drop_low_value,Religion,solana,CkJZvvWbwmiDepzrk71pq6gMXBfRVfUkhXR61iz3pump,SOL,21436.84,0.0,50305.4,dexscreener_profiles,https://dexscreener.com/solana/9zch6oazqf69ttpa4zywyeoiusj8b2x2r5tdqfceraiz,value_below_minimum:21437;fresh_pair<=3d:0;latest_profile;high_liquidity_to_fdv:0.22;low_value_score_cap
19,drop_low_value,BABY KINS,solana,EzLupfmJGDrVKyJfQd8vwJsUHd9LFF66JALzdX1ppump,SOL,0.0,0.0,42041.79,dexscreener_boosts,https://dexscreener.com/solana/6litqzalesm9eretk7ggcff3bz4vgcy3x4cmjgmmkwb7,value_below_minimum:0;fresh_pair<=3d:0;latest_boost;low_value_score_cap
19,drop_low_value,Highway on Solana,solana,ETZB4WBqqzX29ofp4sRHLdw9paM9Kvne4c2WvJH2pump,SOL,0.0,0.0,25832.95,dexscreener_boosts,https://dexscreener.com/solana/jghtkjkb6pbzykrkrrpdmdvr4vwnhgpx5o1gmh9g3d4,value_below_minimum:0;fresh_pair<=3d:2;latest_boost;low_value_score_cap
19,drop_low_value,LiquidPool,solana,8T7UGfH67Rn82w4nSSZtc3aB4GeNNASrZhdsUFDypump,SOL,10507.34,0.0,470779.66,dexscreener_boosts,https://dexscreener.com/solana/ez1ugwusl3hjizuubccqhhkdunjwxi7bcqsysnhnsguq,value_below_minimum:10507;fresh_pair<=3d:0;latest_boost;high_liquidity_to_fdv:0.61;low_value_score_cap
19,drop_low_value,PumpTown,solana,HMKTGAvaScJawgjmMZKxghuc58QABg6H5KGq1biapump,SOL,11841.31,0.0,164143.49,dexscreener_boosts,https://dexscreener.com/solana/7nt7zdnkz56cztgkm6cjxwq72tgofrlw4sgf6vd61kcn,value_below_minimum:11841;fresh_pair<=3d:0;latest_boost;high_liquidity_to_fdv:0.42;low_value_score_cap
19,drop_low_value,QUOKKA,solana,9WqxyfDkVhvPxQHLZFKRGRmKGgnuVbR1So2n7gtupump,SOL,0.0,0.0,1180.23,dexscreener_boosts,https://dexscreener.com/solana/3pissfyv1raedgvq6kfjwiybnqjxvp9zf7kclmlrguit,value_below_minimum:0;fresh_pair<=3d:0;latest_boost;low_value_score_cap
19,drop_low_value,Fight House,solana,FSA7iqBeeENna2LUmZyqCYce7op2jBc9ztXLKdM6bonk,USD1,30272.97,0.0,726348.77,dexscreener_boosts,https://dexscreener.com/solana/7w9wka7bofchyajuajuanzhbsrumahbqb8iu9wthe3uz,value_below_minimum:30273;fresh_pair<=3d:0;latest_boost;high_liquidity_to_fdv:0.23;low_value_score_cap
19,drop_low_value,SPCX69,solana,SPCXwBHVrKpRqMRawL3NNvt1sXP2Yf3edwRbta53N69,SOL,94633.39,0.0,937449.47,dexscreener_boosts,https://dexscreener.com/solana/5qphhqpaw3cz5anbnhqgzjxjm7ennrka6hwtzhmxj2dr,value_below_minimum:94633;fresh_pair<=3d:2;latest_boost;low_value_score_cap
19,watch_mainstream,Lido,ethereum,,Liquid Staking,0.0,14822733000.528246,0.0,defillama_protocols,https://lido.fi/,value_at_risk>=10000000:14822733001;chain_weight:ethereum:5;surface:staking:14;mainstream_dampener>=100000000
19,watch_mainstream,Bybit,ethereum,,CEX,0.0,13904893251.48631,0.0,defillama_protocols,https://www.bybit.com,value_at_risk>=10000000:13904893251;chain_weight:ethereum:5;surface:stake:14;mainstream_dampener>=100000000
19,watch_mainstream,SSV Network,ethereum,,Staking Pool,0.0,12224474245.662563,0.0,defillama_protocols,https://ssv.network/,value_at_risk>=10000000:12224474246;chain_weight:ethereum:5;surface:staking:14;mainstream_dampener>=100000000
18,watch_mainstream,WBTC,bitcoin,,Bridge,0.0,7317939831.579144,0.0,defillama_protocols,https://wbtc.network/,value_at_risk>=10000000:7317939832;surface:bridge:18;mainstream_dampener>=100000000
10,drop_low_value,ANDY,solana,7jF7tjSKLambtJMiAyCXfaj8nVrqF3UfJxgWP9tKLGwT,SOL,0.0,0.0,3837.7,dexscreener_boosts,https://dexscreener.com/solana/j83lrw1bs8ac44akqivf8g4p7mwwwsks3h5cpqlbaof3,value_below_minimum:0;latest_boost;low_value_score_cap
10,drop_low_value,Alpie,solana,aqQRs3UJmHs7ktoLo46HZAzvG9P3oCoZ41nENqFbory,USDC,128280.25,0.0,168832.19,dexscreener_boosts,https://dexscreener.com/solana/h1hkfyy8ga3oybkxk4htiezfpbsdh8ot5bsbrjjqj79v,value_below_minimum:128280;latest_boost;low_value_score_cap
5,watch_mainstream,Binance CEX,ethereum,,CEX,0.0,140161946025.00806,0.0,defillama_protocols,https://www.binance.com,value_at_risk>=10000000:140161946025;chain_weight:ethereum:5;mainstream_dampener>=100000000
5,watch_mainstream,OKX,ethereum,,CEX,0.0,21781833453.538258,0.0,defillama_protocols,https://www.okx.com,value_at_risk>=10000000:21781833454;chain_weight:ethereum:5;mainstream_dampener>=100000000
0,watch_mainstream,Bitfinex,bitcoin,,CEX,0.0,16879987165.274368,0.0,defillama_protocols,https://www.bitfinex.com,value_at_risk>=10000000:16879987165;mainstream_dampener>=100000000
0,watch_mainstream,Robinhood,bitcoin,,CEX,0.0,11301131021.719408,0.0,defillama_protocols,https://robinhood.com,value_at_risk>=10000000:11301131022;mainstream_dampener>=100000000
