score,next_action,name,chain,entity_type,address,category,liquidity_usd,tvl_usd,volume24h_usd,fdv_usd,price_change_24h_pct,verified_source,deployer_address,funding_cluster_id,source,url,reasons
113,recon_bravo_then_corecritical,0x6e395da41cf9362d30461d49f23fe57849b18498,bsc,unknown_protocol,0x6e395da41cf9362d30461d49f23fe57849b18498,fresh contract,0.0,119975652.176951,0.0,0.0,0.0,,,,bsc_chain_scanner,https://bscscan.com/address/0x6e395da41cf9362d30461d49f23fe57849b18498,value_at_risk>=10000000:119975652;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
113,recon_bravo_then_corecritical,0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,bsc,unknown_protocol,0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,fresh contract,0.0,68632905.30992943,0.0,0.0,0.0,,,,bsc_chain_scanner,https://bscscan.com/address/0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,value_at_risk>=10000000:68632905;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
103,recon_bravo_then_corecritical,0xc736ca3d9b1e90af4230bd8f9626528b3d4e0ee0,bsc,unknown_protocol,0xc736ca3d9b1e90af4230bd8f9626528b3d4e0ee0,fresh contract,0.0,3748425.3493122375,0.0,0.0,0.0,,,,bsc_chain_scanner,https://bscscan.com/address/0xc736ca3d9b1e90af4230bd8f9626528b3d4e0ee0,value_at_risk>=1000000:3748425;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
103,recon_bravo_then_corecritical,0x466d8c952f7dfbb0de428006fa1e2ea3c22d033f,bsc,unknown_protocol,0x466d8c952f7dfbb0de428006fa1e2ea3c22d033f,fresh contract,0.0,1317080.3397239856,0.0,0.0,0.0,,,,bsc_chain_scanner,https://bscscan.com/address/0x466d8c952f7dfbb0de428006fa1e2ea3c22d033f,value_at_risk>=1000000:1317080;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0xa250cc729bb3323e7933022a67b52200fe354767,ethereum,unknown_protocol,0xa250cc729bb3323e7933022a67b52200fe354767,fresh contract,0.0,3911536.487667352,0.0,0.0,0.0,,,,ethereum_chain_scanner,https://etherscan.io/address/0xa250cc729bb3323e7933022a67b52200fe354767,value_at_risk>=1000000:3911536;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,ethereum,unknown_protocol,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,fresh contract,0.0,4942799.916638981,0.0,0.0,0.0,,,,ethereum_chain_scanner,https://etherscan.io/address/0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,value_at_risk>=1000000:4942800;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0x2078f336fdd260f708bec4a20c82b063274e1b23,ethereum,unknown_protocol,0x2078f336fdd260f708bec4a20c82b063274e1b23,fresh contract,0.0,7403915.527925781,0.0,0.0,0.0,,,,ethereum_chain_scanner,https://etherscan.io/address/0x2078f336fdd260f708bec4a20c82b063274e1b23,value_at_risk>=1000000:7403916;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0xd3d2e2692501a5c9ca623199d38826e513033a17,ethereum,unknown_protocol,0xd3d2e2692501a5c9ca623199d38826e513033a17,fresh contract,0.0,2116503.3306826083,0.0,0.0,0.0,,,,ethereum_chain_scanner,https://etherscan.io/address/0xd3d2e2692501a5c9ca623199d38826e513033a17,value_at_risk>=1000000:2116503;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,ethereum,unknown_protocol,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,fresh contract,0.0,7947269.910277386,0.0,0.0,0.0,,,,ethereum_chain_scanner,https://etherscan.io/address/0x7f86bf177dd4f3494b841a37e810a34dd56c829b,value_at_risk>=1000000:7947270;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,bsc,unknown_protocol,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,fresh contract,0.0,736791.7165711299,0.0,0.0,0.0,,,,bsc_chain_scanner,https://bscscan.com/address/0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,value_at_risk>=250000:736792;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
